province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Quebec,G0G,17665,0.066,895,6,1,Rural,0,Not Low Income,8570,40,5175,0.171,1970,2965,14450,13235,140
Quebec,G0J,29251,0.21,5970,5,1,Rural,1,Low Income,14280,105,985,0.154,2495,3720,28835,28535,215
Quebec,G0K,11587,0.14300000000000002,1630,4,1,Rural,0,Not Low Income,5545,15,145,0.099,1050,1580,11510,11460,95
Quebec,G0R,83573,0.13,10490,5,1,Rural,0,Not Low Income,41275,400,725,0.052000000000000005,7955,11835,82325,81785,1010
Quebec,G0T,14063,0.153,2065,5,1,Rural,0,Not Low Income,7055,15,2295,0.172,1215,1750,13915,13870,130
Quebec,G0V,17614,0.113,1985,1,0,Not Rural,0,Not Low Income,8410,20,1030,0.10400000000000001,1635,2580,17515,17320,155
Quebec,G0W,36076,0.13,3575,5,1,Rural,0,Not Low Income,17525,60,9415,0.133,4015,5940,32660,31525,210
Quebec,G0X,58779,0.155,8710,4,1,Rural,0,Not Low Income,28750,130,2150,0.084,5070,7745,58230,57710,735
Quebec,G4T,12475,0.11,1340,6,1,Rural,0,Not Low Income,6415,20,220,0.12,1095,1585,11925,11690,105
Quebec,G4A,3085,0.128,385,6,1,Rural,0,Not Low Income,1595,0,70,0.107,280,430,3015,3005,35
Quebec,G4X,14568,0.13,1845,6,1,Rural,0,Not Low Income,7470,55,1810,0.115,1365,2070,13720,12605,165
Quebec,G5A,8332,0.145,1185,6,1,Rural,0,Not Low Income,4230,20,280,0.105,755,1085,8235,8190,100
Quebec,G9X,10745,0.174,1820,6,1,Rural,0,Not Low Income,5305,60,1125,0.09300000000000001,950,1460,10550,10345,115
Quebec,H0M,1202,NA,0,7,1,Rural,NA,(Missing),640,0,1180,0.22,165,225,35,15,15
Quebec,G8H,10303,0.159,1545,6,1,Rural,0,Not Low Income,5335,50,980,0.08900000000000001,1000,1440,10000,9970,80
Quebec,G8J,4154,0.128,525,6,1,Rural,0,Not Low Income,2020,0,295,0.095,470,705,4135,4120,35
Quebec,G8L,14753,0.16,2230,3,0,Not Rural,0,Not Low Income,7450,70,1105,0.128,1350,1940,14290,14235,105
Quebec,G8N,2533,0.124,305,4,1,Rural,0,Not Low Income,1230,0,50,0.07,265,375,2500,2490,10
Quebec,G8P,7537,0.096,715,6,1,Rural,0,Not Low Income,3660,40,520,0.068,950,1415,7365,7185,145
Quebec,J0M,23550,0.131,1720,6,1,Rural,0,Not Low Income,11695,100,21845,0.155,4345,6310,6210,1565,240
Quebec,J0W,16025,0.214,3355,5,1,Rural,1,Low Income,7735,25,1340,0.13,1250,1895,15855,15535,165
Quebec,J0X,45720,0.179,8100,4,1,Rural,0,Not Low Income,22560,210,5200,0.085,4220,6385,35540,29050,1325
Quebec,J9L,14002,0.213,2845,6,1,Rural,1,Low Income,7125,40,855,0.1,1460,2170,13695,13585,150
Quebec,J9P,32766,0.122,3880,3,0,Not Rural,0,Not Low Income,16220,335,1815,0.061,3765,5855,32125,31170,710
Quebec,J9E,7769,0.264,1665,6,1,Rural,1,Low Income,3920,10,2650,0.136,810,1170,6760,6145,50
Quebec,J9V,3462,0.125,410,6,1,Rural,0,Not Low Income,1790,30,25,0.068,335,485,3295,3245,55
Nunavut,X0A,18958,NA,0,8,1,Rural,NA,(Missing),9260,260,15135,0.17300000000000001,3065,4725,1255,505,655
Nunavut,X0B,6543,NA,0,8,1,Rural,NA,(Missing),3180,30,5960,0.28,1155,1730,105,25,95
Nunavut,X0C,10443,NA,0,8,1,Rural,NA,(Missing),5115,40,9460,0.256,1960,2910,210,50,175
Northwest Territories,X0E,21232,NA,0,8,1,Rural,NA,(Missing),10345,150,15660,0.155,3070,4785,995,280,800
Northwest Territories,X0G,500,NA,0,8,1,Rural,NA,(Missing),225,10,445,0.325,70,115,15,5,10
Northwest Territories,X1A,20054,NA,0,3,0,Not Rural,NA,(Missing),9935,605,4755,0.062,2645,4350,3330,880,2885
Yukon,Y0A,1641,NA,0,8,1,Rural,NA,(Missing),775,10,860,0.21899999999999997,165,250,90,25,140
Yukon,Y0B,6561,NA,0,8,1,Rural,NA,(Missing),3125,35,2515,0.157,585,960,685,290,715
Ontario,N2Z,10856,0.08900000000000001,950,6,1,Rural,0,Not Low Income,5585,65,265,0.064,990,1565,850,145,1305
Ontario,N0G,83818,0.156,12820,5,1,Rural,0,Not Low Income,41760,260,1235,0.046,10100,14685,2675,440,5245
Ontario,P0V,21722,0.098,865,6,1,Rural,0,Not Low Income,10580,60,14815,0.149,3380,4920,675,350,630
Ontario,P0W,6410,0.14800000000000002,770,6,1,Rural,0,Not Low Income,3175,20,1680,0.08900000000000001,760,1070,195,70,390
Ontario,P1H,16271,0.128,2035,6,1,Rural,0,Not Low Income,8400,125,380,0.068,1705,2480,1180,200,1270
Ontario,P2N,7188,0.21899999999999997,1525,6,1,Rural,1,Low Income,3655,10,695,0.08199999999999999,795,1260,2090,1000,235
Ontario,P8T,5002,0.125,615,6,1,Rural,0,Not Low Income,2535,25,1835,0.06,655,1065,260,70,285
Ontario,P9A,10651,0.133,1225,6,1,Rural,0,Not Low Income,5445,30,3255,0.08199999999999999,1340,1930,365,90,510
Manitoba,R0B,48048,0.24,2210,6,1,Rural,1,Low Income,23655,85,42925,0.214,8475,12000,455,165,375
Manitoba,R0C,52620,0.149,6120,5,1,Rural,0,Not Low Income,25965,100,17310,0.084,6350,9295,1980,775,2550
Manitoba,R0M,19864,0.142,2460,6,1,Rural,0,Not Low Income,9935,80,2920,0.067,2225,3370,810,340,1085
Ontario,P0G,3119,0.106,280,5,1,Rural,0,Not Low Income,1515,0,640,0.08800000000000001,285,400,175,65,295
Ontario,P0J,20848,0.166,3415,6,1,Rural,0,Not Low Income,10605,100,1360,0.084,2340,3305,7610,5280,680
Ontario,P0K,11374,0.146,1605,5,1,Rural,0,Not Low Income,5620,25,1390,0.113,1125,1705,5175,3360,405
Manitoba,R8A,5300,0.11800000000000001,615,6,1,Rural,0,Not Low Income,2615,20,1065,0.069,580,900,255,50,210
Ontario,P0L,24896,0.141,2630,6,1,Rural,0,Not Low Income,12325,80,9315,0.122,3140,4620,12765,11005,435
Ontario,P0P,19461,0.165,2165,6,1,Rural,0,Not Low Income,9700,80,7565,0.131,2120,2955,1520,860,730
Saskatchewan,S0E,32755,0.165,4825,6,1,Rural,0,Not Low Income,16605,100,6395,0.077,3725,5380,815,395,1390
Ontario,P5N,8467,0.171,1415,6,1,Rural,0,Not Low Income,4315,0,870,0.087,895,1325,6530,5530,160
Manitoba,R9A,6673,0.145,925,6,1,Rural,0,Not Low Income,3400,60,2920,0.066,855,1310,375,50,325
Alberta,T0V,19,NA,NA,7,1,Rural,NA,(Missing),x,NA,NA,NA,NA,NA,NA,NA,NA
Saskatchewan,S0H,22746,0.14,3025,6,1,Rural,0,Not Low Income,11125,60,1005,0.037000000000000005,2270,3385,1525,830,980
Saskatchewan,S0K,89853,0.09699999999999999,8105,5,1,Rural,0,Not Low Income,43995,385,8930,0.063,10525,15980,3395,1475,4485
Saskatchewan,S0L,30870,0.099,2890,6,1,Rural,0,Not Low Income,15295,100,1070,0.047,3340,5105,470,155,1545
Saskatchewan,S0M,48321,0.17600000000000002,5905,5,1,Rural,0,Not Low Income,24250,160,23780,0.146,6615,9655,965,325,880
Saskatchewan,S0N,21447,0.13,2415,6,1,Rural,0,Not Low Income,10640,75,805,0.04,2480,3565,675,345,1205
Saskatchewan,S0P,7249,0.27699999999999997,1030,6,1,Rural,1,Low Income,3535,0,5260,0.20199999999999999,1310,1770,100,25,60
Manitoba,R7N,10321,0.191,1845,6,1,Rural,0,Not Low Income,5515,20,2345,0.066,1150,1715,575,125,415
Alberta,T0B,64072,0.107,6525,5,1,Rural,0,Not Low Income,31055,120,3130,0.079,7295,10640,1795,725,3895
Alberta,T0C,62701,0.111,5820,5,1,Rural,0,Not Low Income,30810,210,10510,0.11599999999999999,7295,10695,1315,480,3050
Alberta,T0G,42905,0.13699999999999998,4960,6,1,Rural,0,Not Low Income,21035,230,15755,0.12300000000000001,5780,8405,1890,890,2230
Alberta,T0H,84336,0.111,8100,6,1,Rural,0,Not Low Income,41040,320,17230,0.106,11455,17010,4440,2530,4085
Alberta,T0J,50783,0.1,4265,4,1,Rural,0,Not Low Income,24675,125,5220,0.08199999999999999,6055,8825,1085,360,3405
Alberta,T0L,61161,0.098,4715,5,1,Rural,0,Not Low Income,30435,220,10810,0.085,7390,10505,2770,560,5525
Alberta,T7E,13989,0.07400000000000001,1025,6,1,Rural,0,Not Low Income,6730,115,1460,0.10400000000000001,1740,2685,735,215,955
Alberta,T7V,10575,0.067,705,6,1,Rural,0,Not Low Income,5075,110,1220,0.073,1295,2025,1075,350,975
Alberta,T8S,8007,0.085,660,6,1,Rural,0,Not Low Income,3980,100,1275,0.08199999999999999,1015,1685,900,315,805
British Columbia,V8J,12275,0.177,2140,3,0,Not Rural,0,Not Low Income,6065,65,4685,0.127,1555,2400,575,70,1610
Alberta,T9W,8062,0.067,515,6,1,Rural,0,Not Low Income,3995,65,340,0.061,985,1535,460,210,550
British Columbia,V0A,13920,0.11699999999999999,1535,5,1,Rural,0,Not Low Income,6945,45,1155,0.08900000000000001,1390,2165,1270,390,1575
British Columbia,V0C,28830,0.11800000000000001,3105,5,1,Rural,0,Not Low Income,13855,70,5735,0.138,3555,5525,870,225,1870
British Columbia,V0J,52919,0.139,5995,6,1,Rural,0,Not Low Income,25630,200,14985,0.136,6315,9320,2320,505,4520
British Columbia,V0K,32908,0.198,5735,5,1,Rural,1,Low Income,16075,85,6535,0.111,2750,4065,1210,310,3275
British Columbia,V0N,79501,0.149,10915,5,1,Rural,0,Not Low Income,39540,380,8665,0.065,7280,11500,7480,1705,13525
British Columbia,V0S,266,NA,NA,7,1,Rural,NA,(Missing),125,0,85,0.11800000000000001,30,40,15,0,0
British Columbia,V0T,8645,0.18600000000000003,840,6,1,Rural,0,Not Low Income,4210,20,4795,0.107,910,1380,415,95,615
British Columbia,V0V,2033,0.151,80,7,1,Rural,0,Not Low Income,970,0,1795,0.225,270,375,20,5,55
British Columbia,V0X,20629,0.20199999999999999,3855,5,1,Rural,1,Low Income,10155,35,2690,0.09300000000000001,1810,2655,765,280,2620
British Columbia,V1R,10021,0.152,1480,6,1,Rural,0,Not Low Income,5150,50,835,0.087,990,1510,265,65,940
