province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Ontario,L3V,44915,0.155,6620,3,0,Not Rural,0,Not Low Income,23445,270,3125,0.077,5120,7675,1980,445,3700
Ontario,L9L,14897,0.073,1050,4,1,Rural,0,Not Low Income,7650,105,330,0.05,1825,2425,1140,150,1620
Ontario,L9M,14825,0.157,2100,3,0,Not Rural,0,Not Low Income,7250,70,3015,0.08800000000000001,1560,2245,2730,1330,1180
Ontario,L9V,13643,0.09699999999999999,1300,4,1,Rural,0,Not Low Income,6870,835,325,0.06,1680,2435,585,115,1875
Ontario,L9W,44867,0.08,3550,1,0,Not Rural,0,Not Low Income,22870,730,810,0.059000000000000004,6055,8560,2830,490,6120
Ontario,L9Y,24766,0.142,3430,3,0,Not Rural,0,Not Low Income,13115,110,635,0.054000000000000006,2405,3615,1790,310,2915
Ontario,L9R,21313,0.085,1775,1,0,Not Rural,0,Not Low Income,10925,360,470,0.063,2275,3465,1125,260,3015
Ontario,N0A,29853,0.1,2880,4,1,Rural,0,Not Low Income,14950,130,1765,0.062,3290,4810,925,245,2445
Ontario,N0C,15438,0.152,2330,5,1,Rural,0,Not Low Income,7645,75,265,0.064,1880,2650,760,130,1335
Ontario,N0J,32428,0.11,3560,4,1,Rural,0,Not Low Income,15895,195,365,0.044000000000000004,4380,6145,910,190,3930
Ontario,N0K,24378,0.11699999999999999,2800,5,1,Rural,0,Not Low Income,12160,110,260,0.037000000000000005,3250,4665,540,70,1635
Ontario,N0L,46908,0.094,4355,1,0,Not Rural,0,Not Low Income,23350,260,1135,0.052000000000000005,5600,7615,1890,380,4165
Ontario,N0M,64764,0.10099999999999999,6380,5,1,Rural,0,Not Low Income,32595,175,1015,0.046,7460,10595,2140,380,4990
Ontario,N1A,12000,0.154,1825,4,1,Rural,0,Not Low Income,6075,80,280,0.075,1445,2055,280,85,1055
